Feature,MeanSHAP
8.77_314.88,0.0016181626382122045
Ergothioneine,-0.0016178871469233387
1.39_215.06,-0.0016159464859492195
4.51_792.55,0.001614314288748787
9.99_928.74,-0.0016124277598274905
9.322_130.0499,0.0016120495992249777
1.45_236.17,0.0016095867167850583
9.75_874.77,0.0016090873036682688
9.43_1014.85,-0.0016011987630064508
11.23_866.82,-0.0016010054124922326
4.41_836.54,-0.0016004769733341646
9.89_875.71,0.0015974656697706716
9.01_921.69,-0.0015942207214061127
5.50_773.08,0.0015930615218116128
10.90_960.89,0.0015925225404093207
0.48_221.30,-0.001592222301736103
1.14_634.31,-0.0015884344304505213
10.35_994.88,0.0015870545259084885
10.05_854.72,0.001586593050402691
9.01_147.0763,0.001582121257271864
8.73_996.71,-0.0015799153078447637
TG 54:3|TG 18:1_18:1_18:1,-0.0015755253033381317
5.279_558.3343,0.0015740536321880855
4.46_804.55,0.0015730460157092204
11.41_962.91,-0.0015695535776219093
2.28_385.38,0.0015690674426582967
10.67_946.88,-0.0015687532933575561
threonic acid,0.001567738357200485
8.339_315.0421,-0.0015671781217209309
6.04_794.60,0.0015647472225454684
PC 40:5,-0.0015617136246380255
9.65_963.82,-0.0015591710856509282
5.41_750.60,-0.0015581892669287104
TG 48:2|TG 14:0_16:0_18:2,-0.0015569557778865528
1.125_398.2485,0.0015401430132559277
0.43_476.31,-0.0015374495470946543
2.511_99.0076,0.0015367814427926325
6.76_817.65,0.0015341827012864302
1.82_214.0763,0.0015331892657944276
4.98_831.57,-0.001532004839432232
4.40_768.55,-0.0015301453815661547
4.98_766.57,-0.001528949015876201
9.80_883.76,-0.0015269734722171428
0.50_304.93,0.0015264238929567854
10.42_843.69,0.0015257082949610456
10.86_949.75,0.0015224033461709767
11.24_960.90,0.0015214790915082856
10.87_953.83,0.001519054997835356
5.39_847.09,0.0015190513067969784
9.15_1023.74,0.0015185097121659654
1.21_379.003,-0.0015154212933113642
1.23_209.00,0.0015145893913617282
3-phosphoglycerate,0.0015138225192348883
8.605_275.1057,-0.001512500953688569
10.20_540.50,-0.0015118468933680272
9.63_900.71,0.0015115623834073505
2-Hydroxypalmitic acid,-0.0015101547089362776
6.07_239.06,-0.0015053966437533078
9.49_1038.85,0.0015037802287577017
3.13_413.27,-0.001503625656235953
TG 59:4|TG 23:0_18:2_18:2,-0.0015016198393427908
10.47_1008.90,0.001501504627533827
TG 66:3|TG 16:0_32:1_18:2,0.0015005445996730303
0.37_275.11,0.0015000765027723872
5.65_819.61,-0.0014973667012527468
5.82_722.59,-0.0014970808867149272
5.24_811.60,-0.0014952255547142684
10.12_855.74,0.0014947427981467866
8.96_937.67,0.0014933149635429396
10.89_909.78,-0.0014920823944207615
9.14_917.74,0.001492077030812831
9.73_916.69,-0.0014918722731544788
11.35_1375.30,0.0014910389454158904
0.51_266.17,0.0014825964017279904
PC O-36:4|PC O-16:0_20:4,0.0014795840918181637
9.78_236.17,-0.0014787276934201858
4.41_846.60,0.0014780673993376695
Methyl-beta-galactopyranoside,0.0014763846728333477
10.34_980.86,-0.001475747872826204
5.31_875.56,0.0014736103282734824
2.52_400.38,0.001472793595155322
6.437_291.0336,-0.0014676819576480051
0.981_79.956,-0.0014667445360696675
2.708_173.0619,-0.001465505830181768
N-Tigloylglycine,0.0014654710777548539
0.982_281.249,-0.0014648743814081855
7.34_233.0212,0.0014635809748616217
2.16_1070.72,0.0014624196225954155
7.55_683.60,-0.0014592514698567594
N-Acetyl-valine,-0.00145772615744635
10.36_981.79,-0.0014536613441757198
10.86_1326.28,0.0014536559288601118
6.02_888.65,-0.0014440334254537948
10.98_1015.94,0.0014428236608574649
408460,0.0014424126735861386
LPC 17:0/0:0,-0.0014392348548614511
PC O-34:4,-0.0014392148911862783
9.89_942.85,-0.0014376020510053489
9.49_987.74,-0.0014333758701503007
4.56_804.54,-0.0014320800572412075
10.62_1020.90,0.00142572986353981
4.397_305.6792,0.0014217202340856647
4.13_800.58,-0.0014203564674925007
10.86_891.82,0.0014187824873057055
4.989_174.0012,0.0014177394042033638
9.852_405.0283,-0.0014156552509295033
Dihydrouracil,-0.0014149874935956764
9.65_936.80,0.0014126360411587315
3.26_116.93,-0.0014124788762268144
5.62_1213.38,0.0014114242791121651
0.38_272.11,-0.0014112195167403166
2.28_99.044,0.0014111994333729095
10.52_901.80,0.0014086079486498374
4.58_969.57,-0.0014060006670388308
4.96_769.59,0.0014039542728293355
5.08_798.53,-0.0014000999574493695
10.48_1017.93,-0.0013992833623515477
5.833_240.1018,-0.001398125346625914
9.80_922.78,-0.0013959372130929704
6.27_811.67,-0.0013956101227211508
10.85_397.38,0.0013953801521611271
PC 35:2|PC 17:0_18:2,-0.001395306062713083
10.09_1018.88,-0.0013950865289128601
11.26_930.85,-0.0013942899449174992
5.19_1590.14,0.0013936572162244923
5.08_1564.13,0.0013934358664706079
CE 18:3,0.0013891822340972092
10.36_982.88,0.001388851108695993
10.35_931.76,0.0013880585599616645
9.73_965.84,-0.001384755748852688
12.68_172.83,0.0013846439815919092
0.55_649.01,0.0013836040796172016
10.55_898.72,-0.001382858698376613
8.90_1036.83,-0.0013818071058317564
0.47_121.03,-0.0013810369536933994
9.64_951.82,-0.0013800248767161492
TG 58:5|TG 22:1_18:2_18:2,-0.001379977561102001
TG 48:3|TG 14:0_16:1_18:2,-0.0013790539516135717
10.86_859.77,0.0013786073692570774
5.23_697.51,0.0013764341968922583
4.25_884.54,-0.0013759275870365286
10.02_1276.36,-0.0013715515073792516
5.34_746.57,0.0013660106822298641
9.58_902.82,0.0013651528234697133
2.09_513.84,0.0013641757171867104
9.81_941.70,-0.0013626766762235285
1.37_145.10,-0.0013598826352411231
6.71_811.66,-0.0013579604719503402
8.29_751.77,-0.0013557114352465596
5.49_700.53,0.0013542993752855945
0.43_385.12,-0.0013514155677166228
0.40_147.03,0.0013502134904766613
10.68_996.90,-0.0013466572541892127
Dexpanthenol,-0.0013449925388219297
11.24_977.78,-0.0013425552961423488
10.86_1506.34,-0.0013405028181047531
8.959_215.1243,-0.00133830753448323
5.91_940.63,-0.001337538774149259
6.03_664.50,0.0013365848890363194
9.572_288.9978,-0.0013361679118060294
5.51_752.56,-0.0013292490740632631
11.37_1006.88,0.0013283528099967232
9.43_1028.86,-0.0013271720850240288
10.19_872.77,-0.0013254634710573967
10.05_549.49,0.0013247670798863392
5.04_825.58,0.0013237737326336528
10.71_972.90,0.0013218247527424399
11.01_1062.94,0.0013210213739806517
3.14_615.54,-0.0013203473655800286
4.23_863.57,0.0013190734872491324
3.14_613.54,0.001318640395447225
10.33_1011.91,-0.0013179303017464192
10.13_599.50,0.00131785328896844
10.73_979.85,-0.0013151026603338486
10.00_1018.88,0.001314255893950406
10.70_953.84,0.0013141041043113206
8.94_1047.74,0.0013138545086914507
5.59_1630.20,-0.0013079081481240187
9.36_960.80,-0.0013074876843415723
10.193_164.8353,0.001303213568724922
4.57_807.57,0.001301576523170005
3.43_659.48,0.0013002044456180946
1.071_79.9558,-0.0012997549940406427
PC 38:3|PC 18:0_20:3,0.0012983324495886828
9.52_857.74,-0.0012966470527845876
0.63_212.11,-0.001296598830381644
4.114_243.0639,0.0012930697878241338
10.87_304.16,0.0012920503866578066
10.91_1299.18,-0.0012899009213222681
2.90_269.25,-0.0012881520847397208
9.25_960.80,0.0012880974642773188
10.12_945.71,0.0012880353206050305
4.91_779.54,-0.0012880181114693875
10.89_829.72,0.0012865692178288428
2.27_351.22,-0.0012863401824187248
4.45_943.55,-0.0012833792059315178
10.62_1060.93,-0.0012806404630868737
8.031_241.0919,0.001279273994203947
9.80_962.82,-0.0012783091641644596
10.85_884.03,0.0012761136968300099
10.32_813.70,-0.0012714799342600795
11.65_240.97,-0.0012655018663258056
5.77_679.47,-0.0012649825221935443
9.72_888.71,-0.0012642572739618905
3-Hydroxybutyrylcarnitine,0.0012619371117879893
7.721_128.0341,0.0012592199674899753
threonine,-0.001258565734455032
6.435_185.0312,0.0012536049142142598
6.08_846.62,-0.001252539542093638
4.64_613.52,-0.0012500288593197497
11.60_928.78,-0.0012487312679000657
2.714_202.0503,0.00124837000873476
9.918_342,-0.0012467321378528792
10.48_1320.16,0.001245012784850194
5.19_874.55,-0.0012425222536080127
2.719_194.081,-0.001241283018713114
10.27_1018.88,0.001240463776907023
1.25_622.33,-0.0012398501479485404
10.10_820.74,0.0012390559492332744
Sulfamethoxazole,-0.0012381743660825676
4.99_780.56,0.0012350831382682353
8.95_893.72,-0.001232362247788375
11.97_976.96,0.001231437464253447
2.116_101.0232,0.0012288714346677338
7.06_638.57,-0.0012286985468239083
5.54_1212.37,0.0012284697213253975
2.115_195.9527,-0.0012276965300620968
0.76_518.32,0.0012273209906893073
9.68_1022.82,-0.001227193681578852
7.276_187.0218,0.0012268061250959238
PC 36:4|PC 16:0_20:4,0.0012249134210455899
11.27_882.83,0.001223178532571275
4.79_886.51,0.00122314620706149
TG 53:3|TG 17:0_18:1_18:2,-0.0012215411724615225
10.71_970.88,-0.0012179217334210388
5.38_799.60,-0.00121625821126822
PC 39:4|PC 19:0_20:4,-0.0012158244417597387
10.84_979.85,-0.001215245470280357
5.51_834.60,0.0012143039314498664
TG 51:2|TG 16:0_17:1_18:1,0.0012136204277695727
4.78_898.55,-0.001211551414396149
3.96_249.15,0.0012102260044885619
